fecha,area,entidad,devengado
2026-08-12,ADMINISTRACION TERRITORIAL,Autonomía del Territorio Indígena Originario Campesino Guaraní Chaqueño de Huacaya,899933.27
2026-08-12,ADMINISTRACION TERRITORIAL,GAIOC de Charagua Iyambae,5108375.470000001
2026-08-12,ADMINISTRACION TERRITORIAL,GAIOC de la Nación Originaria Uru Chipaya,274485.75
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Chuquisaca,57067689.53
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Cochabamba,91440837.16
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de La Paz,152797970.32
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Oruro,41882242.04000001
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Pando,17514279.81
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Potosí,116905705.39
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Santa Cruz,162419500.46
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental de Tarija,56150538.06999999
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Departamental del Beni,38507401.379999995
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Indígena Guaraní Kereimba Iyaambae,1198183.28
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Indígena Originario Campesino de Salinas,1079521.31
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Indígena Originario Campesino de la Autonomía Originaria del Jatún Ayllu Yura,899071.44
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Indígena Originario Campesino del Territorio de Raqaypampa,312270.95999999996
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,4241495.670000001
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal Villa Gualberto Villarroel,325281.64
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Acasio,198716.29
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Achacachi,4405036.07
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Aiquile,2889424.13
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Alalay,250207.52999999997
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Alto Beni,474463.36
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Ancoraimes,1322569.7499999998
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Andamarca (Santiago de Andamarca),554174.14
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Antequera,792256.2999999999
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Anzaldo,470794.64
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Apolo,1007308.72
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Arampampa,109303.78
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Arani,895520.04
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Arbieto,2541165.69
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Arque,867209.36
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Ascención de Guarayos,4566111.47
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Atocha,850423.8400000001
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Aucapata,833796.82
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Ayata,367428.31000000006
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Ayo Ayo,459600.11000000004
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Batallas,3023777.0500000007
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Baures,1411190.97
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Bella Flor,656569.34
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Belén de Andamarca,159257.9
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Bermejo,6309927.99
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Betanzos,2257268.21
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Bolivar,515953.21
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Bolpebra,501979.97000000003
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Boyuibe,598890.2500000001
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Buena Vista,1681370.75
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cabezas,2900760.62
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cairoma,681303.12
2026-08-12,ADMINISTRACION TERRITORIAL,"Gobierno Autónomo Municipal de Caiza ""D""",861907.36
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cajuata,1365437.66
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Calacoto,973051.2599999999
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Calamarca,1638770.93
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Camargo,1283683.8
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),385235.62
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Camiri,3034706.0300000003
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Capinota,1780042.32
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Caquiaviri,1691725.64
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Carabuco,154420.28
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Caracollo,6150666.61
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Caranavi,5060161.109999999
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Carangas,195126.82
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Caraparí,2421924.87
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Caripuyo,676842.83
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Catacora,218984.37
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chacarilla,108528.66
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Challapata,3965229.65
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chaqui,766066.08
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Charaña,316921.04
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chayanta,2100718.04
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chimoré,4504371.74
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Choquecota,315769.45
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chua Cocani,433452.33999999997
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),2517299.26
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chuma,451554.64999999997
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Chuquihuta Ayllu Jucumani,739038.5299999999
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Ckochas,1013039.9199999999
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cliza,3168807.06
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cobija,9873975.59
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cocapata,2865774.71
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Cochabamba,117143187.46000001
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Coipasa,182753.41
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Colcapirhua,9817840.71
2026-08-12,ADMINISTRACION TERRITORIAL,"Gobierno Autónomo Municipal de Colcha""K"" (Villa Martín)",4302508.83
2026-08-12,ADMINISTRACION TERRITORIAL,Gobierno Autónomo Municipal de Collana,431482.80999999994
