iddemandaseguimiento,iddemandapto,fechasegdem,estado,fuente,referenciafuente,datoscontacto,seguimiento,observaciones
2,4,2021-08-19T04:00:00.000Z,EN PROCESO,Pagina7,Pedro Perico en pagina principal,Pedro Perico,Se ha contado la historia de una manera incorrecta,mala percepcion
3,10,2021-08-23T04:00:00.000Z,EN PROCESO,Juan Perez ,Pagina 7,70441552,asdfasdfdsaafdsds,fsadfasdfasd
4,7,2021-08-23T04:00:00.000Z,CONCLUIDO,asfasd,fasd,sadfasdfsad,"fsadfasdfsadfs
afsdkfhasdfasjdk
asdkhfasdkfasd
asdkfjadsn",fasdfsadf
5,14,2021-11-01T04:00:00.000Z,EN PROCESO,fadsfdsa,fasd,fasd,fasd,fads
6,14,2021-11-01T04:00:00.000Z,EN PROCESO,asdfdas,fasd,fasd,fdsa,fasd
7,8,2022-04-18T04:00:00.000Z,EN PROCESO,Pagina 7,sadfds,fsdafds,sdafsadfsad,fasdfasd
8,8,2022-04-25T04:00:00.000Z,EN PROCESO,Pagina 7,fasdfds,fsdfasd,fasdfsd,fsdafsda
9,16,2022-11-09T04:00:00.000Z,EN PROCESO,GADCH,GADCH,78177622,"SE GENERA UNA CARTA INDICANDO QUE NO SE TENÍA CONOCIMIENTO DE LA INVITACION ANTERIOR, Y SE LOS LLAMA A ESCUCHAR SU DEMANDA AL GADCH","LA CARTA TIENE LA INTENCIÓN QUE NO SE GENERE UN ACUERDO, ADELANTADONOS A LAS ACCIONES QUE DESEA REALIZAR LA FUTPOCH"
10,19,2022-11-11T04:00:00.000Z,CONCLUIDO,No es competencia del GADCH,No es competencia del GADCH,Ninguno,No es competencia del GADCH,No es competencia del GADCH
11,20,2022-09-14T04:00:00.000Z,EN PROCESO,asdf,asfd,fasd,fasd,fsad
12,21,2024-06-25T04:00:00.000Z,EN PROCESO,Se ha tenido reunion de coordinación,Prensa,www.prensa.bo/pagina1,"Se ha tenido la reunión pero no se ha llegado a un acuerdo, se tiene un cuarto intermedio",Hay gente con actitud politica que tiene sus propios intereses y por ello no se consolida un acuerdo
