iddemandapunto,idprincipal,puntonro,descripcionpto,resultadopto,fechaplazo,responsabledemandante,responsabledemandado
4,32,1,asdfs,afsd,2022-03-08T16:00:00.000Z,asdf,asdfa
7,5,1,asfsadf,safadfsad,2021-08-25T16:11:00.000Z,fasdfsad,asfadsfasd
8,32,2,asdfasdasdfasdfsad,fasdfa,2022-05-26T16:26:00.000Z,fasdfsad,fasdfasd
9,5,2,fasdfasdfsdafasdfsadfasd,fasdfasdfasdfsafasdfasdfsadf,2021-08-19T16:32:00.000Z,asdfadsfasd,fdasfsadfasd
10,34,1,tsasfd,sadfasdf,2021-08-23T01:35:00.000Z,afdsasdf111,asfdasdf
12,34,2,asdfasdf,afsdfasd,2021-08-23T16:06:00.000Z,sdfsad,afsdfasd
13,32,3,adfsasdf,fasdfasd,2022-04-23T03:04:00.000Z,adfdsa,fasdfsad
14,58,1,asdfdas,fasdf,2022-02-23T16:04:00.000Z,asdfads,afsdf
15,58,2,dsafasdfdsa,fsdafsad,2021-11-26T17:53:00.000Z,sdfds,fsdaafsd
16,105,ART P,CONMINAN A REUNION CON EL GOBERNADOR PARA AUDIENCIA PUBLICA EL 17 DE NOVIEMBRE 2022 A HORAS 9:00 EN LA VILLA BOLIVARIANA,PENDIENTE,2022-11-28T02:00:00.000Z,FUTPOCH,GADCH
17,105,ART S,"CONMINA Y EXIGE A LA ASAMBLEA DEPARTAMENTAL DE CHUQUISACA, PARA TRABAJAR UNA LEY DEPARTAMENTAL DE DISTRIBUCION DE LOS RECURSOS ADICIONALES DE HIDROCARBUROS.",PENDIENTE,2022-11-17T16:29:00.000Z,FUTPOCH,GADCH
18,105,ART T,"DECLARACION DE ESTADO DE DESASTRE, PRO HELADA, SE EXIGE AL VICEMINIESTRO DE DEFENSA CIVIL Y A LA UNIDAD DE GESTION DE RIESGOS DE LA CADCH, A TOMAR CARTAS EN EL ASUNTO DE MANERA RAPIDA Y PRONTA, CON RESULTADOS FAVORABLES HASTA LA PROXIMA CONVOCATORIA DE ADUENCIA",PENDIENTE,2022-11-17T04:00:00.000Z,FUTPOCH,GADCH
