idactor,idprincipal,fecha,Actores,Asuntos,IntNec,Miedos,Medios,Opciones,Tipoactor,Poder
2,11,2020-09-17T04:00:00.000Z,"1. Asociacion de Padres de Familia de Colegios Publicos

2. Gobierno Autonomo Municpal de La Paz

3. Ministerio de Educacion

4. Presidenta de la Republica
","1. cobrar en dinero

2.  Entregar el Desayuno segun lo que permita la norma

3. Gestion de los recursos ante las autoridades correspondientes

4. aprobar la entrega en efectivo y no en desayuno","1. Interes de cobrar en efectivo

2. Necesidad de ejecucion de entrega segun lo que estipule la norma

3. Ministerio debe elaborar proyecto de ley para que la presidenta lo mande al senado y apruebe el desembolso en dinero del desayuno

4. revisar y elaborar cambios a la propuesta del Ministerio para enviar a senado y asi lograr la entrega en efectivo","1. Que no se les pague y el dinero se revierta

2. Que no se pueda cumplir y con ello mayor escalada del conflicto en epoca electoral

3. Que su proyecto enviado a presidencia sea rechazado

4. que el senado rechaze el proyecto de ley","1. Medios de Comunicacion, presion social, Ministerio de Educacion

2. Medios de Comunicacion

3. Asociacion de Padres de Familia

4. Discurso Politico ante cualquier situacion","1. Dialogo Negociativo ante la respuesta del GAMLP

2. Proceso de Dialogo para entender que se puede existir un beneficio de igual manera a la poblacion

3. Llevar al dialogo para lograr la entrega del desayuno en efectivo

4. Discurso politico ",0,0
4,30,2020-10-14T04:00:00.000Z,"1. Sra Maria
2. Sra Teresa
3. Comité de Riesgos","1. Pared Dañada que afectaría su puerta
2. Es una pared compartida que no puede ella sola asumir el pago
3. Multar por mala construcción","1. Precautelar la seguridad
2. Tener un pago compartido
3. Generar multa por mala construcción","1. Que no cumpla acuerdo
1. Que se cauga la pared
1. Riesgo de vida
2. Tener que pagar mayor porcentaje
3. Que no sea reconocida como autoridad","1. su hijo es abogado
2. ninguno
3. Normativa","1. Proceso de consilición
2. Proceso de consiliación
3. Participación como garante",0,0
5,31,2020-12-02T04:00:00.000Z,"1.Camilo
2. Julita
3. Papá Camilo
4. Mama Julita",Division de Bienes en la forma más equitativa,"1. Quedarse con los gatos (I)
2. Quedarse con todos los bienes (I)
3. Apoyar en que Camilo no pierda los bienes (I)
4. Apoyar a su hija en que obtenga el 100% de los bienes (I)","1. Quedarse sin los gatos
2. No obtener nada y como no trabaja, quedarse sin nada
3. Hacer cumplir la ley, para que la distribución sea equitativa por que el invirtió en ellos
4. Que su hija quede sin nada","1. Tiene el espacio suficiente en casa
2. Aplicar la ley y negociar con abogado
","1. Apelar mediante abogado o negociar sobre ellos
2. Apelar mediante abogado o negociar sobre ellos
3.  ",0,0
6,34,2021-06-07T04:00:00.000Z,S1MAY-Trabajadores Transportitas 1ro de Mayo,test,test,test,test,test,Demandante,50
7,34,2021-06-07T04:00:00.000Z,GAMLP-Gobierno Autonomo Municipal de La Paz,test1,test1,test1,test1,test1,Demandado,60
8,34,2021-06-07T04:00:00.000Z,JVACH-Junta de Vecinos Achumani,taysiu,adka,kakksjj,jajdhfk,akjdha,Apoya a Demandante,20
9,36,2021-07-11T04:00:00.000Z,S1MAY-Trabajadores Transportitas 1ro de Mayo,Apoyar al sindicato de la zona a que no salga el pumakatari,,,,,Demandante,80
10,36,2021-07-12T04:00:00.000Z,ADEPCOCA-ADEPCOCA,asdfasdfasd,asdfasd,asdfsadfsda,fsdafasd,asdfsdafdsa,Demandado,15
11,36,1899-11-30T04:32:36.000Z,JVACH-Junta de Vecinos Achumani,Muchos,Muchos,Muchos,Muchos,Muchos,Apoya a Demandante,20
12,38,2021-08-01T04:00:00.000Z,MINGOB-Ministerio de Gobierno,Atender las necesidades solicitadas,Necesidad de mejorar los precios,No cumplir con su funcion,Institucional,Dialogo y negociación,Demandado,80
