idconvenioseguimiento,idconveniopunto,fechasegconv,estado,fuente,referenciafuente,datoscontacto,seguimientocumplimiento,observaciones
5,1,2021-08-23T18:55:00.000Z,CONCLUIDO,AQUIIII,fsadf,sdafsd,fsadfsda,fsadfsda
6,2,2021-08-23T19:01:00.000Z,EN PROCESO,2,2,2,2,2
7,1,2021-08-24T01:08:00.000Z,CONCLUIDO,La Razon,Pedro lirivo,7887171,Se hafjdasdkfasd lkasdflkasdf,fasdfsadfasd
8,4,2021-08-23T23:48:00.000Z,CONCLUIDO,fasdfdsa,fasdfdsa,fasdfsad,fsadfsdaf,fasdfsdafsda
9,4,2021-08-23T16:49:00.000Z,EN PROCESO,fsadfd,asdfsad,fsadfsda,fasdfsda,gjhgffjg
10,5,,EN PROCESO,mi casa,mi casa1,mi casa 2,buena suerte en el tratado de informacion que corresponda a la intervencion sistematica de las probabilidades,ninguna
12,5,2021-08-31T18:31:00.000Z,CONCLUIDO,ninguna,ninguna,no se tiene,no se dio seguimiento,mal hechas
13,7,,CONCLUIDO,Pagina 7,www.pagina87.com/ajhd,www.pag7,Se ha realizo la entrega de 100 vacunas,Se genera el documento firmas.pdf
14,10,2022-11-24T04:00:00.000Z,CONCLUIDO,Pagina 7,"Pagina 7, www.pagina7.bo",,Se ha atendido el punto,observacion al punto
15,13,2026-01-21T04:00:00.000Z,CONCLUIDO,MDPRyA,https://produccion.gob.bo/index.php/nota_prensa/%F0%9D%90%8C%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A2%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%AB%F0%9D%90%A8-%F0%9D%90%89%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A2%F0%9D%90%9A/,https://produccion.gob.bo/index.php/nota_prensa/%F0%9D%90%8C%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A2%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%AB%F0%9D%90%A8-%F0%9D%90%89%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A2%F0%9D%90%9A/,"Por su parte el representante del transporte, Dardo Arteaga, a tiempo de expresar su predisposición al diálogo, agradeció la intervención del Ministro Oscar Mario Justiniano, para destrabar un conflicto que afecta a toda la población.
«Es el inicio de una transformación basada en la consecuencia con el sector y la conciencia con la población. El ajuste del Gobierno ya se hizo y ahora buscamos que ese beneficio llegue directamente al bolsillo del ciudadano», concluyó Justiniano.",Concenso para destrabar el conflicto generado por el DS 5503
16,14,2025-12-22T04:00:00.000Z,CONCLUIDO,informe MDPRyA,informe MDPRyA,,"el diálogo se centró en soluciones estructurales para garantizar el abastecimiento de combustible, la importación directa, biotecnología y tecnificación, además de los alcances del Decreto Supremo 5503.",on esto se tiene una buena aceptación al trabajo planteado con el DS5503
17,18,2025-12-26T04:00:00.000Z,EN PROCESO,informe MDPRyA,informe MDPRyA,informe MDPRyA,"El proyecto de construcción del sistema de agua potable Candelaria beneficiará a 157 familias y tendrá un costo de Bs 1.925.749, el cual es financiado en su totalidad por el Banco Interamericano de Desarrollo (BID). El plazo para concretar esta importante obra es de 90 días y la entidad ejecutora es EMAGUA.",
